dullness,whiteness,pixel_width,red_dominant,green_dominant,blue_dominant,average_color_r,average_color_g,average_color_b,x,y,blurrness,entropy_r,entropy_g,entropy_b,deviation_r,deviation_g,deviation_b,variation_r,variation_g,variation_b,class
0,0,0,0.235294,0.282353,0.509804,62.599882,81.254994,142.773649,92,74,24.132781,4.494974,3.898562,3.121719,40.570334,58.429101,96.295822,1.522576,2.192804,3.613915,fire
0,0,0,0.231373,0.443137,0.772549,59.434928,101.314058,182.612319,92,75,30.316179,4.394999,4.015634,3.201944,45.614473,56.184341,92.521189,1.689055,2.080445,3.425959,fire
0,0,0.73913,0.117647,0.168627,0.192157,43.04942,71.972029,112.303913,92,75,22.655204,4.880566,4.425664,3.681128,37.686188,47.251494,68.849009,1.395479,1.749672,2.549404,fire
0,0,0,0.282353,0.266667,0.376471,72.177536,70.026667,102.25087,92,75,29.937997,4.413844,3.633791,3.534395,43.124418,69.501797,73.424883,1.59685,2.573576,2.718843,fire
0,0,0.724638,0.239216,0.247059,0.482353,69.888696,89.596377,147.34913,92,75,24.936064,4.409021,4.359628,3.716364,43.140784,45.404649,69.064035,1.597457,1.681285,2.557366,fire
0,0,0.587544,0.239216,0.427451,0.678431,64.338719,120.813161,191.246034,92,74,164.107122,4.52479,4.18135,3.992902,42.465753,51.34916,57.750503,1.59371,1.927098,2.167336,fire
0,0,2.014493,0.164706,0.498039,0.843137,42.979855,129.258696,213.733333,92,75,940.421985,4.622392,4.69699,4.041117,40.373911,39.470885,59.366308,1.495002,1.461564,2.19827,fire
0,0,2.347826,0.12549,0.180392,0.211765,37.636377,71.870435,107.17058,92,75,199.684935,4.975916,4.272882,3.572731,32.303672,63.553511,76.812464,1.19617,2.353317,2.844282,fire
0,0,0,0.305882,0.333333,0.576471,79.715507,84.162899,136.893913,92,75,36.76554,4.384519,3.660014,3.703774,45.43107,70.669111,69.712953,1.682263,2.616801,2.581395,fire
0,0,2.15942,0.239216,0.290196,0.54902,61.438406,101.205652,165.338696,92,75,277.843831,4.98157,4.81776,3.917407,28.579812,37.267524,66.437924,1.058279,1.379976,2.460124,fire
0,0,3.36369,0.160784,0.188235,0.321569,45.93111,77.081669,128.622503,92,74,1794.260863,5.0597,4.629717,4.183541,25.641247,44.697491,55.718401,0.962298,1.677466,2.091073,fire
0,0,5.057971,0.113725,0.180392,0.34902,45.530725,101.952899,157.727826,92,75,4259.908744,5.131879,5.164282,4.630739,31.644312,25.604031,42.299652,1.171754,0.948089,1.56631,fire
0,0,1.318841,0.121569,0.180392,0.219608,35.15029,54.631739,80.84029,92,75,450.304908,4.53628,3.687087,3.540359,46.926201,79.290863,79.9817,1.737626,2.936054,2.961635,fire
0,0,3.391304,0.270588,0.258824,0.47451,76.287826,102.370725,169.897101,92,75,726.74913,4.953845,4.770146,4.18861,29.411312,39.9414,56.95514,1.089069,1.478987,2.108987,fire
0,0,2.952409,0.156863,0.168627,0.243137,45.512338,60.371622,91.430082,92,74,1308.116015,4.529947,3.902373,3.754683,51.077095,79.063136,80.369777,1.916888,2.967185,3.016222,fire
0,0,0,0.117647,0.14902,0.219608,33.881014,48.23971,79.123768,92,75,2357.883647,4.552212,3.95828,3.929664,44.029733,67.370775,64.714923,1.630373,2.494667,2.396323,fire
0,0,1.381058,0.517647,0.541176,0.541176,126.358568,132.848464,131.585556,205,154,1911.161631,4.853306,4.755197,4.876626,143.753162,156.193843,139.384216,1.16341,1.264094,1.128052,fire
0,0,2.205882,0.647059,0.662745,0.635294,134.669022,138.306595,132.12796,204,154,1874.074369,4.961676,4.911632,4.983355,123.105594,128.411467,120.00114,1.001191,1.044343,0.975943,fire
0,0,3.405131,0.619608,0.631373,0.65098,146.330187,153.001045,158.963763,205,154,1582.815068,4.911589,4.823144,4.758467,135.480116,145.986431,158.640248,1.096456,1.181484,1.283893,fire
0,13.03,0.554324,0.423529,0.407843,0.423529,122.493221,121.809154,127.594013,205,154,10.09523,4.584286,4.629457,4.727691,194.382055,183.37359,165.904694,1.573156,1.484063,1.342685,fire
0,0,1.262554,0.560784,0.545098,0.596078,140.926479,138.91838,147.078336,205,153,138.950413,5.139898,5.053227,4.911222,105.517175,116.384149,136.708534,0.859544,0.948066,1.113629,fire
0,0,2.432689,0.513725,0.517647,0.505882,141.994583,146.533354,148.000127,205,154,1077.730086,4.933196,4.816232,4.920065,132.513969,147.145223,132.37208,1.07245,1.190863,1.071302,fire
0,0,1.294118,0.482353,0.478431,0.533333,131.919412,133.443529,149.205882,50,34,129.374006,4.23978,4.236787,4.028765,11.84424,11.953002,14.103947,1.780116,1.796463,2.119736,fire
0,0,0,0.431373,0.45098,0.52549,104.259394,110.975758,129.973333,50,33,2396.451983,4.629225,4.530934,4.391391,9.30554,9.672527,10.76582,1.440946,1.497773,1.667068,fire
0,0,0,0.419608,0.415686,0.458824,107.27697,109.920606,128.413333,50,33,1205.033309,4.610844,4.328844,4.368038,9.606622,11.186342,10.710309,1.487568,1.732185,1.658472,fire
0,0,2.484848,0.45098,0.482353,0.513725,119.291515,122.696364,128.165455,50,33,1991.983812,4.674235,4.662086,4.846318,8.732009,8.519236,7.195106,1.352136,1.319188,1.114149,fire
0,0,0.445312,0.247059,0.266667,0.282353,66.625026,72.161536,76.132188,240,160,252.666412,4.293563,4.202323,4.242279,273.971088,284.74707,278.303079,1.822903,1.894602,1.851727,fire
0,0,1.21875,0.298039,0.286275,0.301961,87.086042,82.477969,86.255495,240,160,225.142189,4.412358,4.40763,4.533143,242.081399,241.947815,219.934447,1.610721,1.609832,1.463363,fire
